Name,Location,City,P.O. Box,Phone,Mobile,Company Page Link,Logo URL
Mono Restaurant & Cafe,N/A,Abu Dhabi,N/A,02-6416655,N/A,https://www.yellowpages-uae.com/mono-restaurant-cafe-147220.html,
Moonlight Restaurant,"Opp Islamic Bank, Mumtazar Rd",Ras Al Khaimah,5748,07-2282336,N/A,https://www.yellowpages-uae.com/moonlight-restaurant-113514.html,
Moshi,Al Barsha 1,Dubai,N/A,04-3999650,N/A,https://www.yellowpages-uae.com/moshi-175354.html,
Moti Mahal Delux Restaurant,N/A,Abu Dhabi,N/A,02-6742121,N/A,https://www.yellowpages-uae.com/moti-mahal-delux-restaurant-146540.html,
Moulay Youssef Restaurant,Jumeirah,Dubai,N/A,04-3282285,N/A,https://www.yellowpages-uae.com/moulay-youssef-restaurant-148310.html,
Moylos Burgers,"Near Sunset Mall, Jumeirah Beach Road",Dubai,N/A,04-3883140,N/A,https://www.yellowpages-uae.com/moylos-burgers-175555.html,
Mr Shawerma Restaurant,Abu Hail,Dubai,N/A,04-2626900,N/A,https://www.yellowpages-uae.com/mr-shawerma-restaurant-175307.html,
Mubarak Salem Saeed Restaurant,Hor Al Anz,Dubai,11204,04-2667982,N/A,https://www.yellowpages-uae.com/mubarak-salem-saeed-restaurant-116697.html,
Mugg & Bean,Abu Dhabi Mall,Abu Dhabi,N/A,02-6454232,N/A,https://www.yellowpages-uae.com/mugg-bean-145700.html,
Mughal Darbar Restaurant LLC,"Hamsah Building, Near Ansar Galler, Karama",Dubai,N/A,04-3795677,N/A,https://www.yellowpages-uae.com/mughal-darbar-restaurant-llc-175268.html,
Muhammad Faisal Restaurant,"Near Dnata Bldg, Port Saeed, Deira",Dubai,N/A,04-2691900,N/A,https://www.yellowpages-uae.com/muhammad-faisal-restaurant-175253.html,
Mullapanthal Restaurant,"Hawthorn Suite Hotel, Tourist Club Area",Abu Dhabi,N/A,055-8381867,N/A,https://www.yellowpages-uae.com/mullapanthal-restaurant-176437.html,
Multan Restaurant,"Damascus St, Al Qusais 3",Dubai,N/A,04-2584033,N/A,https://www.yellowpages-uae.com/multan-restaurant-146561.html,
Multi Food LLC,N/A,Dubai,N/A,04-4472800,N/A,https://www.yellowpages-uae.com/multi-food-llc-175601.html,
Mumbai Masti Juice Center,"Opp Dubai Museum, Al Fahidi St, Bur Dubai",Dubai,123481,04-3867655,N/A,https://www.yellowpages-uae.com/mumbai-masti-juice-center-175238.html,
Mumtaz Mahal,Arabian Courtyard Hotel & SPA,Dubai,N/A,04-3519111,N/A,https://www.yellowpages-uae.com/mumtaz-mahal-175642.html,
Musalla Restaurant,"Lahej Khalifa Building, Opposite Karama Centre, Al Karama",Dubai,N/A,04-3968030,N/A,https://www.yellowpages-uae.com/musalla-restaurant-175284.html,
Mussafah Sanahiya Restaurant,"M 14, Mussafah",Abu Dhabi,8605,02-5553390,N/A,https://www.yellowpages-uae.com/mussafah-sanahiya-restaurant-129038.html,
My Falafel,"Shop 4, Al Waha Mosque, Dubai Silicon Oasis",Dubai,N/A,04-3383790,N/A,https://www.yellowpages-uae.com/my-falafel-175336.html,
My Tea Cafeteria,"Behind Green House, Najda Street",Abu Dhabi,N/A,02-6219989,N/A,https://www.yellowpages-uae.com/my-tea-cafeteria-175514.html,
Mythos,JLT,Dubai,N/A,04-3998166,N/A,https://www.yellowpages-uae.com/mythos-175768.html,
NA3NA3,"Dubai Mall, Al Doha St, Down Town Dubai",Dubai,N/A,04-4329520,N/A,https://www.yellowpages-uae.com/na3na3-67747.html,
Naadan Adukkala Restaurant,"Opp Aster, Khalid Bin Waleed Rd, Bur Dubai",Dubai,N/A,04-3277753,N/A,https://www.yellowpages-uae.com/naadan-adukkala-restaurant-175314.html,
Nabaa Al Sham Pastry,"Opp Al Moski, King Faisal Street, Al Majaz",Sharjah,N/A,06-5732626,N/A,https://www.yellowpages-uae.com/nabaa-al-sham-pastry-175595.html,
Nabras Refreshments,Khalidiya,Abu Dhabi,N/A,02-6668582,N/A,https://www.yellowpages-uae.com/nabras-refreshments-145701.html,
Nahaam,"Jumeirah Al Etihad Towers, Al khubeirah",Abu Dhabi,N/A,02-8115555,N/A,https://www.yellowpages-uae.com/nahaam-175711.html,
Nalan Restaurant LLC,"Burjuman Centre, Khalid Bin Al Waleed Road, Bur Dubai",Dubai,N/A,04-3541900,N/A,https://www.yellowpages-uae.com/nalan-restaurant-llc-178638.html,
Nalas Aappakadai Chettinad Restaurant LLC,N/A,Abu Dhabi,N/A,02-6721500,N/A,https://www.yellowpages-uae.com/nalas-aappakadai-chettinad-restaurant-llc-146541.html,
Nasar Restaurant,Old Airport Rd,Abu Dhabi,25634,02-6210482,N/A,https://www.yellowpages-uae.com/nasar-restaurant-141299.html,
Nasr Restaurant & Grill,TCA,Abu Dhabi,N/A,02-6444228,N/A,https://www.yellowpages-uae.com/nasr-restaurant-grill-145510.html,
National Restaurant,"Near Hilton Hotel, Khorfakkan Rd",Fujairah,718,09-2222753,N/A,https://www.yellowpages-uae.com/national-restaurant-121119.html,
Nawab Restaurant,"Al Ain Centre (Computer Plaza), Bur Dubai",Dubai,29877,04-3599884,N/A,https://www.yellowpages-uae.com/nawab-restaurant-130832.html,
Neelgiris Vegetarian Restaurant,"Ramla Mall Food Court, DIP",Jebel Ali,30884,04-8847644,N/A,https://www.yellowpages-uae.com/neelgiris-vegetarian-restaurant-146563.html,
Nell Gwynns,Dubai Marina,Dubai,N/A,04-4488222,N/A,https://www.yellowpages-uae.com/nell-gwynns-175769.html,
Nellara Restaurant LLC,"Al Fattan Bldg, Opp Nihal, Al Qusais",Dubai,N/A,04-2806444,N/A,https://www.yellowpages-uae.com/nellara-restaurant-llc-143857.html,
New Bawarchi Restaurant,"Bhnd Raffa Police Stn, Near Golden Fork, Bur Dubai",Dubai,43263,04-3552833,N/A,https://www.yellowpages-uae.com/new-bawarchi-restaurant-175295.html,
New City Palace Restaurant,Al Falah Street,Abu Dhabi,31912,02-6262762,N/A,https://www.yellowpages-uae.com/new-city-palace-restaurant-145643.html,
New Damascus Sweets and Restaurant,"Beside Madina S/Market, Al Gurfa",Fujairah,252,09-2222281,N/A,https://www.yellowpages-uae.com/new-damascus-sweets-and-restaurant-138104.html,
New Defood Restaurant,"Al Fajar Building, Near Al Hilal Bank, Al Garhoud",Dubai,N/A,04-2502829,N/A,https://www.yellowpages-uae.com/new-defood-restaurant-175557.html,
New Generation Restaurant,"Near Deira Taxi Stand, Deira",Dubai,56296,04-2242332,N/A,https://www.yellowpages-uae.com/new-generation-restaurant-134894.html,
New Luck Restaurant,Al Quoz,Dubai,11059,04-3472101,N/A,https://www.yellowpages-uae.com/new-luck-restaurant-144264.html,
New Madras Vegetarian Restaurant,Deira,Dubai,N/A,04-2233885,N/A,https://www.yellowpages-uae.com/new-madras-vegetarian-restaurant-106907.html,
New Midnight Cafe Restaurant,"Street 1, Discovery Gardens",Dubai,34685,800-5423789,N/A,https://www.yellowpages-uae.com/new-midnight-cafe-restaurant-148002.html,
New Quetta Cafeteria and Restaurant,Main Rd,Al Ain,15283,03-7517716,N/A,https://www.yellowpages-uae.com/new-quetta-cafeteria-and-restaurant-131518.html,
New Royal Chef Restaurant,"Bhnd Sahara Centre, Al Nahda 1",Dubai,N/A,04-2527991,N/A,https://www.yellowpages-uae.com/new-royal-chef-restaurant-175351.html,
New Sagar Restaurant LLC,Mussafah,Abu Dhabi,N/A,02-5531180,N/A,https://www.yellowpages-uae.com/new-sagar-restaurant-llc-147966.html,
New Times Restaurant,"Near Clock Tower, Deira",Dubai,14516,04-2501888,N/A,https://www.yellowpages-uae.com/new-times-restaurant-152365.html,
New York Pizza,Al Qasba,Sharjah,N/A,06-5566262,N/A,https://www.yellowpages-uae.com/new-york-pizza-147579.html,
Nice Burger Restaurant,"Sundos Al Nahda Bldg, NMC Hospital Rd, Al Nahda",Dubai,N/A,04-2582007,N/A,https://www.yellowpages-uae.com/nice-burger-restaurant-175229.html,
Nihal Restaurant,Electra St,Abu Dhabi,72788,02-6318088,N/A,https://www.yellowpages-uae.com/nihal-restaurant-114926.html,
Nila Restaurant,"Near Safeer Mall, Industrial Area 7",Sharjah,29033,06-5300230,N/A,https://www.yellowpages-uae.com/nila-restaurant-144081.html,
Ninar Coffee Shop and Restaurant,Khalifa St,Abu Dhabi,38569,02-6722267,N/A,https://www.yellowpages-uae.com/ninar-coffee-shop-and-restaurant-118411.html,
Nineteen,Emirates Hills,Dubai,36700,04-3905600,N/A,https://www.yellowpages-uae.com/nineteen-122101.html,
Noble Restaurant & Catering Srvcs LLC,N/A,Abu Dhabi,8879,02-5509292,N/A,https://www.yellowpages-uae.com/noble-restaurant-catering-srvcs-llc-148667.html,
Nolus Cafe,Al Bandar,Abu Dhabi,N/A,02-5579500,N/A,https://www.yellowpages-uae.com/nolus-cafe-175657.html,
Noodle House,Dubai Mall,Dubai,N/A,04-3884825,N/A,https://www.yellowpages-uae.com/noodle-house-175770.html,
Noor Al Madina Cafeteria,"Opp Aster, Al Muteena",Dubai,N/A,04-2735318,N/A,https://www.yellowpages-uae.com/noor-al-madina-cafeteria-175243.html,
Noor Al Mandi Restaurant,"Burj Al Noor Tower, Amman St, Al Nahda 2",Dubai,232852,04-2390700,N/A,https://www.yellowpages-uae.com/noor-al-mandi-restaurant-147104.html,
Noor Al Samaa Restaurant,Al Nahda,Sharjah,N/A,06-5265474,N/A,https://www.yellowpages-uae.com/noor-al-samaa-restaurant-147669.html,
Noorani Restaurant & Juice Corner & Cafe LLC,"Near Lamcy Plaza, Oud Metha",Dubai,N/A,04-3707706,N/A,https://www.yellowpages-uae.com/noorani-restaurant-juice-corner-cafe-llc-175501.html,
Notra Food Srvcs,"4th I/Change, Umm Suquem Rd",Dubai,184513,04-3419490,N/A,https://www.yellowpages-uae.com/notra-food-srvcs-124718.html,
Nova Restaurant,Corniche Road,Abu Dhabi,N/A,056-4140978,N/A,https://www.yellowpages-uae.com/nova-restaurant-168561.html,
Oasis - Hotel Holiday International,"Al Majaz, Buheira Corniche",Sharjah,5802,06-5736666,N/A,https://www.yellowpages-uae.com/oasis-hotel-holiday-international-113801.html,
Oasis Courtyard,Bani Yas,Abu Dhabi,N/A,02-6596666,N/A,https://www.yellowpages-uae.com/oasis-courtyard-147212.html,
Ogaret Restaurant LLC,"Food Court 2, Jafza",Jebel Ali,212428,04-8870055,N/A,https://www.yellowpages-uae.com/ogaret-restaurant-llc-145534.html,
Olives,Al Maqta,Abu Dhabi,N/A,02-4041941,N/A,https://www.yellowpages-uae.com/olives-175712.html,
Omar Al Khayyam Restaurant,"Next to Lulu Centre, Rolla",Sharjah,4172,06-5654629,N/A,https://www.yellowpages-uae.com/omar-al-khayyam-restaurant-110615.html,
Omar Al Khayyam Restaurant and Cafeteria,Dibba Al Hassan,Fujairah,12103,09-2442343,N/A,https://www.yellowpages-uae.com/omar-al-khayyam-restaurant-and-cafeteria-121148.html,
Omar Khayyam Restaurant,"Opp RAK Bank, Saba St",Ras Al Khaimah,1451,07-2332824,N/A,https://www.yellowpages-uae.com/omar-khayyam-restaurant-139806.html,
Onam Restaurant,"Near Arabian Travels, Rolla",Sharjah,58,06-5615330,N/A,https://www.yellowpages-uae.com/onam-restaurant-129349.html,
Opasta,"Gold Crest Tower, JLT",Dubai,N/A,04-3686332,N/A,https://www.yellowpages-uae.com/opasta-147694.html,
Open House Restaurant,Karama,Dubai,53677,04-3965481,N/A,https://www.yellowpages-uae.com/open-house-restaurant-120128.html,
Operation Falafel,N/A,Dubai,N/A,600530006,N/A,https://www.yellowpages-uae.com/operation-falafel-175546.html,
Options,N/A,Dubai,9668,04-3293293,N/A,https://www.yellowpages-uae.com/options-149601.html,
Oregano Restaurant,Garhoud,Dubai,52139,04-2883420,N/A,https://www.yellowpages-uae.com/oregano-restaurant-149674.html,
Organic Foods and Cafe,The Greens,Dubai,N/A,04-3382911,N/A,https://www.yellowpages-uae.com/organic-foods-and-cafe-175623.html,
Oriental Korner Restaurant,N/A,Abu Dhabi,29674,02-6716782,N/A,https://www.yellowpages-uae.com/oriental-korner-restaurant-175645.html,
Origins,"Yas Viceroy, Yas Islands",Abu Dhabi,N/A,02-6560600,N/A,https://www.yellowpages-uae.com/origins-175713.html,
Ortegos Grill,"Mankhool Rd, Satwa",Dubai,N/A,04-3425109,N/A,https://www.yellowpages-uae.com/ortegos-grill-175338.html,
Osool Cafeteria,Abu Shagara,Sharjah,N/A,06-5556770,N/A,https://www.yellowpages-uae.com/osool-cafeteria-175344.html,
Ossiano,"Crescent Rd, Palm Jumeirah",Dubai,211188,04-4262626,N/A,https://www.yellowpages-uae.com/ossiano-122107.html,
Oushe Gourmet Bakeshop,Barsha,Dubai,N/A,04-3850011,N/A,https://www.yellowpages-uae.com/oushe-gourmet-bakeshop-148065.html,
Outback Steakhouse,"Dubai Festival Centre, DIFC",Dubai,N/A,04-2328989,N/A,https://www.yellowpages-uae.com/outback-steakhouse-67428.html,
Ovens Bakery,"Amman St, Al Nhada",Dubai,N/A,04-2206050,N/A,https://www.yellowpages-uae.com/ovens-bakery-68514.html,
Pachaylen,Al Markaziyah,Abu Dhabi,N/A,02-6561000,N/A,https://www.yellowpages-uae.com/pachaylen-175714.html,
Pak Al Safa Restaurant LLC,"Near Marco Polo Hotel, Al Muteena St, Deira",Dubai,40577,04-2727323,N/A,https://www.yellowpages-uae.com/pak-al-safa-restaurant-llc-175219.html,
Pak Darbar Restaurant,Al Nahda,Dubai,N/A,04-2206050,N/A,https://www.yellowpages-uae.com/pak-darbar-restaurant-175211.html,
Pak Khyber Darbar Restaurant,"Al Muteena St, Deira",Dubai,N/A,04-2529552,N/A,https://www.yellowpages-uae.com/pak-khyber-darbar-restaurant-175242.html,
Pak Rose Restaurant,"Near Allwin Trdg, Deira",Dubai,N/A,04-2650800,N/A,https://www.yellowpages-uae.com/pak-rose-restaurant-103504.html,
Pak Sufi Restaurant,"Dmascus St, Al Qusais 1",Dubai,N/A,04-2673600,N/A,https://www.yellowpages-uae.com/pak-sufi-restaurant-103510.html,
Pakistan Sweets and Bakers,"Near Al Ibrahimi Restaurant, Al Karama",Dubai,N/A,04-3795040,N/A,https://www.yellowpages-uae.com/pakistan-sweets-and-bakers-175262.html,
Palermo,"Club House, Opposite Arabian Ranches",Dubai,N/A,04-3618111,N/A,https://www.yellowpages-uae.com/palermo-67429.html,
Palm Grove Restaurant,"Opp Basma Resi, Abu Shagara",Sharjah,N/A,06-5532408,N/A,https://www.yellowpages-uae.com/palm-grove-restaurant-130713.html,
Pancake House,Al Wahda,Abu Dhabi,33779,02-6156000,N/A,https://www.yellowpages-uae.com/pancake-house-176386.html,
Panoor Restaurant LLC,"Sh Colony, Qusais",Dubai,N/A,04-2613157,N/A,https://www.yellowpages-uae.com/panoor-restaurant-llc-68517.html,
Panorama,"Emirates Grand Hotel, sh zayed road",Dubai,N/A,04-3230000,N/A,https://www.yellowpages-uae.com/panorama-67756.html,
Pantry Cafe,Wasl Square,Dubai,N/A,04-3883869,N/A,https://www.yellowpages-uae.com/pantry-cafe-175772.html,
Papa John's,Dubai Marina,Dubai,27540,04-4309904,N/A,https://www.yellowpages-uae.com/papa-john-s-135750.html,
Papparoti,Abu Dhabi Mall,Dubai,N/A,04-3308377,N/A,https://www.yellowpages-uae.com/papparoti-67430.html,
Paragon Castle,"Nrar NMC Hospital, Amman Rd, Al Nahda 2",Dubai,N/A,04-2390940,N/A,https://www.yellowpages-uae.com/paragon-castle-68505.html,
Parco Restaurant,DIP,Jebel Ali,N/A,04-8853955,N/A,https://www.yellowpages-uae.com/parco-restaurant-145535.html,
Paris Way Restaurant,"Near Hadiqat Al Madina, DIP",Jebel Ali,N/A,04-8848884,N/A,https://www.yellowpages-uae.com/paris-way-restaurant-145644.html,
Park Bar & Grill,Saadiyat Island,Abu Dhabi,N/A,02-4071138,N/A,https://www.yellowpages-uae.com/park-bar-grill-175739.html,
Park Darbar Restaurant,"Near Lulu, Muteena Rd, Deira",Dubai,N/A,04-2562888,N/A,https://www.yellowpages-uae.com/park-darbar-restaurant-175342.html,
Park View Restaurant,"Bhnd Zulekha Hospital, Al Nahda 2",Dubai,N/A,04-2809985,N/A,https://www.yellowpages-uae.com/park-view-restaurant-147206.html,
Parkers Cafe,Al Mushrif,Abu Dhabi,N/A,050-6255563,N/A,https://www.yellowpages-uae.com/parkers-cafe-175658.html,
Pastry Hayakil Baalabak,Al Nahda,Sharjah,N/A,06-5543111,N/A,https://www.yellowpages-uae.com/pastry-hayakil-baalabak-147397.html,
Patan Restaurant,"Opp Veg Market, Near Enoc, Ras Al Khor",Dubai,N/A,04-3206366,N/A,https://www.yellowpages-uae.com/patan-restaurant-175327.html,
Paul Cafe,Baniyas,Abu Dhabi,N/A,02-5828300,N/A,https://www.yellowpages-uae.com/paul-cafe-175659.html,
Pearl View Restaurant & Cafeteria LLC,"Al Zaroni Bldg, Bhnd Mall of Emirates, Al Barsha",Dubai,N/A,04-3549004,N/A,https://www.yellowpages-uae.com/pearl-view-restaurant-cafeteria-llc-146031.html,
Peepees Restaurant,Jebel Ali,Jebel Ali,2316,04-8834838,N/A,https://www.yellowpages-uae.com/peepees-restaurant-148018.html,
Peppar - Paragon Group,"Bhnd Mall,",Sharjah,N/A,06-5734647,N/A,https://www.yellowpages-uae.com/peppar-paragon-group-68559.html,
Pepper Mill,"4th Floor, Block C, Tower Y",Abu Dhabi,33779,02-6156000,N/A,https://www.yellowpages-uae.com/pepper-mill-176379.html,
Perfect Biriyani House Restaurant,"Behind Al Ain Tower, Hamdan Street",Abu Dhabi,N/A,02-4489338,N/A,https://www.yellowpages-uae.com/perfect-biriyani-house-restaurant-175532.html,
Perfect View Restaurant,Al Buteen,Abu Dhabi,46628,02-6359896,N/A,https://www.yellowpages-uae.com/perfect-view-restaurant-142201.html,
Peshawari Restaurant,"Near Palm Hotel, Al Muteena St, Deira",Dubai,N/A,04-2562013,N/A,https://www.yellowpages-uae.com/peshawari-restaurant-175251.html,
Petit Cafe,"Al Ghazal Mall, Satwa",Dubai,31727,04-3458989,N/A,https://www.yellowpages-uae.com/petit-cafe-113631.html,
Picnic Restaurant,"Beside Al Diyafah Centre, Satwa R/A",Dubai,12235,04-3444805,N/A,https://www.yellowpages-uae.com/picnic-restaurant-116388.html,
Pillars Cafe,"Phoenicia Hotel, Deira",Dubai,N/A,04-2227191,N/A,https://www.yellowpages-uae.com/pillars-cafe-175773.html,
Ping Pong Restaurant LLC,N/A,Dubai,N/A,04-3236566,N/A,https://www.yellowpages-uae.com/ping-pong-restaurant-llc-102258.html,
Pizza Amore,Al Zahiyah,Abu Dhabi,N/A,02-6449990,N/A,https://www.yellowpages-uae.com/pizza-amore-175660.html,
Planet Cafe & Restaurant,Hamdan Str,Abu Dhabi,128354,02-6767962,N/A,https://www.yellowpages-uae.com/planet-cafe-restaurant-136286.html,
Ponderosa Steak House,"Hamad Centre, Electra St",Abu Dhabi,42757,02-6393375,N/A,https://www.yellowpages-uae.com/ponderosa-steak-house-106897.html,
Ponnusamy Restaurant,Qusais,Dubai,4893,04-2619750,N/A,https://www.yellowpages-uae.com/ponnusamy-restaurant-110334.html,
"Pool - Jumeirah Beach Hotel, The",Jumeirah,Dubai,11416,04-4068760,N/A,https://www.yellowpages-uae.com/pool-jumeirah-beach-hotel-the-149382.html,
Pranavam Cafeteria,Satwa,Dubai,N/A,04-3312243,N/A,https://www.yellowpages-uae.com/pranavam-cafeteria-145702.html,
Pulp Juice Bars,"Bahar Bldg, JBR",Dubai,22700,04-4364192,N/A,https://www.yellowpages-uae.com/pulp-juice-bars-146467.html,
Pumpy's Restaurant,"Next to Middle East Bank, Khalid Bin Walid Road, Bur Dubai",Dubai,51745,04-3528484,N/A,https://www.yellowpages-uae.com/pumpy-s-restaurant-35883.html,
Punjab Grill,"Venetian Village, Al Maqta",Abu Dhabi,N/A,02-4087201,N/A,https://www.yellowpages-uae.com/punjab-grill-175715.html,
Punjab Restaurant,"Al Ghowair Market, Rolla",Sharjah,1338,06-5623835,N/A,https://www.yellowpages-uae.com/punjab-restaurant-132028.html,
Puranmal Restaurant,Bur Dubai,Dubai,45068,04-3937701,N/A,https://www.yellowpages-uae.com/puranmal-restaurant-145004.html,
Pushkin,"Jumeirah Beach Residence, Dubai Marina",Dubai,N/A,04-4270268,N/A,https://www.yellowpages-uae.com/pushkin-67766.html,
Qasr Al Khaleej Restaurant,N/A,Sharjah,N/A,06-5508992,N/A,https://www.yellowpages-uae.com/qasr-al-khaleej-restaurant-147324.html,
Qiso Cafe,N/A,Dubai,N/A,04-3212127,N/A,https://www.yellowpages-uae.com/qiso-cafe-175334.html,
Quest Restaurants Management,Al Muroor,Abu Dhabi,51579,02-6418300,N/A,https://www.yellowpages-uae.com/quest-restaurants-management-163806.html,
Quick Bite Rest LLC,Damascus St,Dubai,84907,04-2637888,N/A,https://www.yellowpages-uae.com/quick-bite-rest-llc-130920.html,
Quizno'S Subs,JAFZA,Jebel Ali,13132,04-8872280,N/A,https://www.yellowpages-uae.com/quizno-s-subs-151270.html,
Qurtoba Restaurant & Cafe,"Plaza Level, Bahar Section, The Walk",Dubai,N/A,04-4522209,N/A,https://www.yellowpages-uae.com/qurtoba-restaurant-cafe-175568.html,
Qwaider Al Nabulsi Restaurant,"Al Murakabat Rd, Near Clock Tower, Deira",Dubai,11171,04-2277760,N/A,https://www.yellowpages-uae.com/qwaider-al-nabulsi-restaurant-175208.html,
Raaga Restaurant,"Opp New Burjuman, Al Karama",Dubai,237796,04-3970211,N/A,https://www.yellowpages-uae.com/raaga-restaurant-175269.html,
Radhe O Radhe Restaurant LLC,"Opp Day to Day, Kuwait St, Karama",Dubai,N/A,04-3365339,N/A,https://www.yellowpages-uae.com/radhe-o-radhe-restaurant-llc-68555.html,
Radio Restaurant,"Near Al Wahda Post Office, Jamal Abdul Nasser St",Sharjah,22196,06-5597786,N/A,https://www.yellowpages-uae.com/radio-restaurant-118291.html,
Raidan Mandi Restaurant,N/A,Sharjah,N/A,06-5553801,N/A,https://www.yellowpages-uae.com/raidan-mandi-restaurant-175231.html,
Raihana Restaurant,Old Jawazat Rd,Abu Dhabi,6479,02-6428440,N/A,https://www.yellowpages-uae.com/raihana-restaurant-134190.html,
Rainbow Catering and Wedding Services LLC Co,"Near Gold Center Signal, Al Qasimiyah St",Sharjah,4561,06-5733925,N/A,https://www.yellowpages-uae.com/rainbow-catering-and-wedding-services-llc-co-116915.html,
Rainbow Steak House,Mussafah,Abu Dhabi,N/A,02-5526606,N/A,https://www.yellowpages-uae.com/rainbow-steak-house-147722.html,
Rainbow Steak House and Catering Services Company LLC,"M 40, Musaffah",Abu Dhabi,46663,02-6333434,N/A,https://www.yellowpages-uae.com/rainbow-steak-house-and-catering-services-company-llc-116168.html,
Rainbow Steak House Restaurant,Al Qasimia St,Sharjah,N/A,06-5723505,N/A,https://www.yellowpages-uae.com/rainbow-steak-house-restaurant-147201.html,
